"pid","gene","genes"
"Q9QXN5","Miox","Miox Aldrl6 Rsor"
"Q9QXP0","Rhcg","Rhcg"
"Q9QXP6","Mkrn1","Mkrn1"
"Q9QXS1","Plec","Plec Plec1"
"Q9QXS6","Dbn1","Dbn1 Drba"
"Q9QXT5","Egfl7","Egfl7 Megf7"
"Q9QXT8","Kcnip3","Kcnip3 Csen Dream Kchip3"
"Q9QXU7","Prok2","Prok2 Bv8"
"Q9QXV0","Pcsk1n","Pcsk1n"
"Q9QXV1","Cbx8","Cbx8 Pc3"
"Q9QXV3","Ing1","Ing1"
"Q9QXV8","Spry2","Spry2"
"Q9QXV9","Spry1","Spry1"
"Q9QXW2","Fbxw5","Fbxw5 Fbw5"
"Q9QXW9","Slc7a8","Slc7a8 Lat2"
"Q9QXX0","Jag1","Jag1"
"Q9QXX3","Pla2g10","Pla2g10"
"Q9QXX4","Slc25a13","Slc25a13"
"Q9QXX8","Nufip1","Nufip1"
"Q9QXY1","Tjp3","Tjp3 Zo3"
"Q9QXY6","Ehd3","Ehd3 Ehd2"
"Q9QXY7","Xk","Xk Xkh Xkr1 Xrg1"
"Q9QXZ0","Macf1","Macf1 Acf7 Aclp7 Kiaa0754 Macf"
"Q9QXZ6","Slco1a1","Slco1a1 Oatp1a1 Slc21a1"
"Q9QXZ7","Nr2e3","Nr2e3 Pnr Rnr"
"Q9QXZ9","Opn4","Opn4 Mop Mopn"
"Q9QY01","Ulk2","Ulk2 Kiaa0623"
"Q9QY05","Insl6","Insl6"
"Q9QY06","Myo9b","Myo9b Myr5"
"Q9QY14","Foxe3","Foxe3"
"Q9QY15","Ddx25","Ddx25 Grth"
"Q9QY23","Pkp3","Pkp3"
"Q9QY24","Zbp1","Zbp1 Dlm1"
"Q9QY30","Abcb11","Abcb11 Bsep Spgp"
"Q9QY31","Snai3","Snai3 Smuc Zfp293"
"Q9QY36","Naa10","Naa10 Ard1 Ard1a Te2"
"Q9QY40","Plxnb3","Plxnb3 Kiaa1206 Plxn6"
"Q9QY42","Gpr37","Gpr37"
"Q9QY53","Nphp1","Nphp1 Nph1"
"Q9QY76","Vapb","Vapb"
"Q9QY80","Hacd1","Hacd1 Ptpla"
"Q9QY81","Nup210","Nup210 Kiaa0906"
"Q9QY84","Actl7a","Actl7a Tact2"
"Q9QY93","Dctpp1","Dctpp1 Tdrg-TL1"
"Q9QY96","Casr","Casr Gprc2a"
"Q9QYA2","Tomm40","Tomm40 Mom35 Tom40"
"Q9QYB1","Clic4","Clic4"
"Q9QYB2","Dach1","Dach1 Dach"
"Q9QYB5","Add3","Add3 Addl"
"Q9QYB8","Add2","Add2"
"Q9QYC0","Add1","Add1"
"Q9QYC3","Bhlha15","Bhlha15 Bhlhb8 Mist1"
"Q9QYE0","Plag1","Plag1"
"Q9QYE3","Bcl11a","Bcl11a Ctip1 Evi9 Kiaa1809"
"Q9QYE5","Jag2","Jag2"
"Q9QYE6","Golga5","Golga5 Retii"
"Q9QYE9","Plekhb1","Plekhb1 Evt1 Phr1"
"Q9QYF1","Rdh11","Rdh11 Arsdr1 Mdt1 Psdr1"
"Q9QYG0","Ndrg2","Ndrg2 Kiaa1248 Ndr2"
"Q9QYH6","Maged1","Maged1 Nrage"
"Q9QYH9","Tnfsf14","Tnfsf14 Light"
"Q9QYI5","Dnajb2","Dnajb2 Dnajb10"
"Q9QYI6","Dnajb9","Dnajb9"
"Q9QYJ1","St6galnac5","St6galnac5 Siat7e"
"Q9QYJ3","Dnajb1","Dnajb1 Hsp40 Hspf1"
"Q9QYK4","Hs6st3","Hs6st3"
"Q9QYK5","Hs6st1","Hs6st1"
"Q9QYK7","Rnf11","Rnf11 N4wbp2 Sid1669"
"Q9QYL0","H1-9","H1-9 H1-9p H1f9 Hils1"
"Q9QYM5","Rnd2","Rnd2 Arhn Rho7 Rhon"
"Q9QYM8","Cenph","Cenph Enp"
"Q9QYP6","Azi2","Azi2 Az2 Nap1 Tbkp2"
"Q9QYR6","Map1a","Map1a Mtap1 Mtap1a"
"Q9QYR7","Acot3","Acot3 Pte1a Pte2 Pte2a"
"Q9QYR9","Acot2","Acot2 Mte1"
"Q9QYS2","Grm3","Grm3 Gprc1c Mglur3"
"Q9QYS9","Qki","Qki Qk Qk1"
"Q9QYX7","Pclo","Pclo Acz"
"Q9QYY0","Gab1","Gab1"
"Q9QYY1","IL36RN","IL36RN Fil1d Il1f5 Il1h3 Il1hy1"
"Q9QYY8","Spast","Spast Kiaa1083 Spg4"
"Q9QYY9","Adh4","Adh4 Adh2"
"Q9QYZ8","Dkk2","Dkk2"
"Q9QZ03","Slc39a1","Slc39a1 Zip1 Zirtl"
"Q9QZ04","Magel2","Magel2"
"Q9QZ05","Eif2ak4","Eif2ak4 Gcn2 Kiaa1338"
"Q9QZ06","Tollip","Tollip"
"Q9QZ08","Nagk","Nagk Gnk"
"Q9QZ11","Exo1","Exo1"
"Q9QZ15","Clec4a","Clec4a Clec4a2 Clecsf6 Dcir"
"Q9QZ26","Kcne5","Kcne5 Kcne1l"
"Q9QZ39","St6galnac1","St6galnac1 Siat7a"
"Q9QZ41","Dbf4","Dbf4 Dbf4a"
"Q9QZ47","Tnnt3","Tnnt3"
"Q9QZ59","Dmrt1","Dmrt1"
"Q9QZ67","Ppm1d","Ppm1d Wip1"
"Q9QZ73","Dcun1d1","Dcun1d1 Dcun1l1 Rp42 SCCRO Tes3"
"Q9QZ82","Cyp11a1","Cyp11a1 Cyp11a"
"Q9QZ85","Iigp1","Iigp1 Irga6"
"Q9QZ88","Vps29","Vps29"
"Q9QZB0","Rgs17","Rgs17 Rgsz2"
"Q9QZB1","Rgs20","Rgs20 Rgsz1"
"Q9QZB6","Nr4a3","Nr4a3 Tec"
"Q9QZC1","Trpc3","Trpc3 Trp3 Trrp3"
