"pid","gene","genes"
"Q8C9X1","Sntn","Sntn S100a1l"
"Q8CAA7","Pgm2l1","Pgm2l1"
"Q8CAB8","Castor2","Castor2 Gats Gatsl2"
"Q8CAC8","Spink10","Spink10"
"Q8CAL5","Gpc5","Gpc5"
"Q8CB12","Gsdmc3","Gsdmc3"
"Q8CB14","Las2","Las2"
"Q8CB49","Tprg1","Tprg1 Fam79b Tprg"
"Q8CB77","Eloa","Eloa Tceb3"
"Q8CB96","Rassf4","Rassf4"
"Q8CBB2","Slc15a5","Slc15a5"
"Q8CBC6","Lrrn3","Lrrn3"
"Q8CBW7","Chic1","Chic1 Brx"
"Q8CBX0","Tmem63c","Tmem63c CSC1"
"Q8CBY0","Gatc","Gatc"
"Q8CC36","Cdnf","Cdnf Armetl1"
"Q8CCJ4","Amer2","Amer2 Fam123a"
"Q8CCM6","Timm21","Timm21 Tim21"
"Q8CCT7","Nsun3","Nsun3"
"Q8CD60","Insyn1","Insyn1"
"Q8CDC0","Serpinb13","Serpinb13"
"Q8CDC7","Zbtb9","Zbtb9"
"Q8CDN6","Txnl1","Txnl1 Trp32 Txnl"
"Q8CDT7","Cabcoco1","Cabcoco1"
"Q8CDU5","Efhb","Efhb Cfap21"
"Q8CDU6","Hectd2","Hectd2"
"Q8CDV6","Ccdc63","Ccdc63"
"Q8CE46","Pus7l","Pus7l"
"Q8CE50","Snx30","Snx30"
"Q8CE94","Slc16a13","Slc16a13 Mct13"
"Q8CE96","Trmt6","Trmt6 Kiaa1153 Trm6"
"Q8CEC0","Nup88","Nup88"
"Q8CEF1","Fem1c","Fem1c Kiaa1785"
"Q8CEG5","Ccdc28b","Ccdc28b"
"Q8CEK7","Fate1","Fate1 Fate"
"Q8CEQ0","Cdkl1","Cdkl1"
"Q8CES1","Pmis2","Pmis2"
"Q8CFA2","Amt","Amt"
"Q8CFD4","Snx8","Snx8"
"Q8CFE2","Hpf1","Hpf1"
"Q8CFI5","Pars2","Pars2"
"Q8CFJ7","Slc25a45","Slc25a45"
"Q8CFK6","Dennd1c","Dennd1c"
"Q8CFS6","Kcnv2","Kcnv2"
"Q8CG65","Sspo","Sspo"
"Q8CG85","Mamdc2","Mamdc2"
"Q8CGA2","Tbc1d14","Tbc1d14 D5Ertd110e Kiaa1322"
"Q8CGA4","Mturn","Mturn"
"Q8CGC6","Rbm28","Rbm28"
"Q8CGD2","Crispld1","Crispld1"
"Q8CGF5","Tlcd4","Tlcd4 Tmem56"
"Q8CGZ9","Prl7b1","Prl7b1 Prlpn"
"Q8CH02","Sugp1","Sugp1 Sf4"
"Q8CH09","Sugp2","Sugp2 Sfrs14 Srsf14"
"Q8CH19","Csnka2ip","Csnka2ip CKT2"
"Q8CH40","Nudt6","Nudt6 Asfgf2b"
"Q8CH62","Lto1","Lto1 Oraov1"
"Q8CHH5","Bicral","Bicral Gltscr1l Kiaa0240"
"Q8CHK2","Rln3","Rln3 Insl7"
"Q8CHT3","Ints5","Ints5"
"Q8CHW5","Bicdl2","Bicdl2 Bicdr2 Ccdc64b"
"Q8CHY3","Dym","Dym"
"Q8CHY7","Ttc23","Ttc23"
"Q8CI95","Osbpl11","Osbpl11"
"Q8CI96","Clip4","Clip4 Rsnl2"
"Q8CIA5","Slc35b4","Slc35b4 MNCb-4414"
"Q8CIA9","Mfsd14b","Mfsd14b Hiatl1"
"Q8CIB6","Tmem230","Tmem230"
"Q8CIG0","Depdc1a","Depdc1a"
"Q8CII2","Cdc123","Cdc123"
"Q8CIM1","Lrrc45","Lrrc45"
"Q8CIM8","Ints4","Ints4"
"Q8CIP5","Disp2","Disp2 Kiaa1742"
"Q8CIT9","Sbsn","Sbsn"
"Q8CJ61","Cmtm4","Cmtm4 Cklfsf4"
"Q8JZN3","Kcnj14","Kcnj14 Irk4"
"Q8JZV4","Rbm41","Rbm41"
"Q8JZV7","Amdhd2","Amdhd2"
"Q8JZW5","Sh2d5","Sh2d5"
"Q8JZZ0","Ugt3a2","Ugt3a2"
"Q8K010","Oplah","Oplah"
"Q8K013","Gtpbp10","Gtpbp10"
"Q8K015","Cenpo","Cenpo Mcm21r"
"Q8K025","Frat2","Frat2"
"Q8K031","Stard8","Stard8 Kiaa0189"
"Q8K064","Fam174b","Fam174b"
"Q8K070","Samd14","Samd14"
"Q8K072","Reep4","Reep4"
"Q8K088","Zbtb6","Zbtb6 Zfp482 Znf482"
"Q8K099","Lrit1","Lrit1 Lrrc21 Pal"
"Q8K0C1","Ipo13","Ipo13 Kiaa0724"
"Q8K0C8","Cox19","Cox19"
"Q8K0D5","Gfm1","Gfm1 Efg Efg1 Gfm"
"Q8K0E1","Kctd15","Kctd15"
"Q8K0G5","Eipr1","Eipr1 Tssc1"
"Q8K0S0","Phyhip","Phyhip"
"Q8K0S9","Snapc1","Snapc1"
"Q8K0U4","Hspa12a","Hspa12a Kiaa0417"
"Q8K0Z9","Gpr153","Gpr153 Pgr1"
"Q8K114","Ints9","Ints9 D14Ertd231e"
"Q8K194","Snrnp27","Snrnp27"
"Q8K1C0","Angel2","Angel2 D1Ertd396e D1Ertd654e MNCb-4273"
"Q8K1C7","Slc16a14","Slc16a14 Mct14"
"Q8K1D8","Enho","Enho"
"Q8K1H7","Tcp11l2","Tcp11l2"
"Q8K1I3","Spp2","Spp2 Spp24"
"Q8K1K4","Cenpi","Cenpi Fshprh1"
"Q8K1N4","Spats2","Spats2 Scr59"
"Q8K1T1","Lrrc25","Lrrc25 Mapa"
"Q8K1T4","Ly6g5b","Ly6g5b"
"Q8K248","Hpdl","Hpdl Gloxd1"
"Q8K249","Cd300e","Cd300e Cd300le Clm2"
"Q8K268","Abcf3","Abcf3"
"Q8K274","Fn3krp","Fn3krp"
"Q8K288","Tnfaip8l1","Tnfaip8l1"
"Q8K2A6","Lipm","Lipm Lipl3"
"Q8K2D3","Edc3","Edc3 Yjdc"
"Q8K2F3","Depp1","Depp1 Depp Fseg"
"Q8K2I2","Cchcr1","Cchcr1 Hcr"
"Q8K2J7","Rell1","Rell1"
"Q8K2M0","Mrpl38","Mrpl38"
"Q8K2P2","Fam83a","Fam83a"
"Q8K2P6","Rfesd","Rfesd"
"Q8K2Q0","Commd9","Commd9"
"Q8K2Q7","Brox","Brox"
"Q8K2T1","Nmral1","Nmral1"
"Q8K2U2","Alkbh6","Alkbh6"
"Q8K2W3","Txndc11","Txndc11"
"Q8K2X2","Rbm48","Rbm48"
"Q8K2Y7","Mrpl47","Mrpl47"
"Q8K2Z2","Prpf39","Prpf39"
"Q8K301","Ddx52","Ddx52 Rok1"
"Q8K342","Rassf9","Rassf9 Pamci Pcip1"
"Q8K349","Gimap6","Gimap6 Ian6"
"Q8K358","Pigu","Pigu Cdc91l1"
"Q8K370","Acad10","Acad10"
"Q8K386","Rab15","Rab15"
"Q8K396","Mnd1","Mnd1"
"Q8K3A2","Trpt1","Trpt1 Tpt1h"
"Q8K3A4","Rhno1","Rhno1"
"Q8K3A6","Armcx6","Armcx6"
"Q8K3C0","Rnasek","Rnasek D11Bwg0434e"
"Q8K3I8","Defb19","Defb19 Defb24 Tdl"
"Q8K3I9","Glcci1","Glcci1 Gig18 Tssn1"
"Q8K3J9","Gprc5c","Gprc5c Raig3"
"Q8K3M5","Cables2","Cables2"
"Q8K3P0","Sdr9c7","Sdr9c7 Rdhs Sdro"
"Q8K3V1","Spata4","Spata4 Srg2 Tsarg2"
"Q8K402","Tbx22","Tbx22"
"Q8K419","Lgals4","Lgals4"
"Q8K443","Rgs13","Rgs13"
"Q8K459","Pxt1","Pxt1 Stepp"
"Q8K4I7","Prss45","Prss45 Tessp5"
"Q8K4L4","Pof1b","Pof1b"
"Q8K4N3","Defb12","Defb12"
"Q8K4P1","Npb","Npb"
"Q8K4P7","St7l","St7l St7r"
"Q8K5B2","Mcfd2","Mcfd2 Sdnsf"
"Q8QZR7","Pdik1l","Pdik1l"
"Q8QZR8","Ccnq","Ccnq Fam58a Fam58b"
"Q8QZS1","Hibch","Hibch"
"Q8QZV0","Dedd2","Dedd2 Flame3"
"Q8QZV4","Stk32c","Stk32c Pkek MNCb-1563"
"Q8QZX0","Sbk1","Sbk1 Sbk"
"Q8QZX2","Haus3","Haus3"
"Q8QZX5","Lsm10","Lsm10"
"Q8QZY2","Glyctk","Glyctk"
"Q8QZZ7","Tprkb","Tprkb"
"Q8R040","Rpp21","Rpp21 Cat60"
"Q8R070","Slc37a1","Slc37a1"
"Q8R080","Gtse1","Gtse1 B99"
"Q8R089","Fbrs","Fbrs Fbs Fbs1"
"Q8R092",NA,NA
"Q8R0A2","Zbtb44","Zbtb44 Btbd15"
"Q8R0C0","Polr3gl","Polr3gl"
"Q8R0E5","Znrd1-as","Znrd1-as Tctex4 Znrd1as"
"Q8R0F5","Rbmx2","Rbmx2"
"Q8R0J1","Plekhg6","Plekhg6"
"Q8R0J8","Idnk","Idnk"
"Q8R0M8","Slc16a4","Slc16a4 Mct5"
"Q8R0T2","Znf768","Znf768 Zfp768"
"Q8R0W5","Ces4a","Ces4a Ces8"
"Q8R0X2","Cacul1","Cacul1"
"Q8R105","Vps37c","Vps37c"
"Q8R149","Bud13","Bud13"
"Q8R164","Bphl","Bphl"
"Q8R189","Mmd2","Mmd2 Paqr10"
"Q8R1C6","Mettl22","Mettl22"
"Q8R1C9","Apbb3","Apbb3 Fe65l2"
"Q8R1F6","Hid1","Hid1"
"Q8R1I1","Uqcr10","Uqcr10"
"Q8R1J1","Tm6sf2","Tm6sf2"
"Q8R1L4","Kdelr3","Kdelr3"
"Q8R1M8","Mptx1","Mptx1 Mptx"
"Q8R1N4","Nudcd3","Nudcd3 Kiaa1068"
"Q8R1P5","Kcnk13","Kcnk13 Gm1570"
"Q8R1Q3","Angptl7","Angptl7"
"Q8R1U1","Cog4","Cog4"
"Q8R1U2","Cgref1","Cgref1 Cgr11"
"Q8R1Y2","Bmerb1","Bmerb1"
"Q8R205","Zc3h10","Zc3h10"
"Q8R207","Sptssa","Sptssa Ssspta"
"Q8R218","Tmem150b","Tmem150b"
"Q8R242","Ctbs","Ctbs"
"Q8R2E6","V1ra11","V1ra11"
"Q8R2I5","Defb15","Defb15"
"Q8R2I7","Defb11","Defb11"
"Q8R2I8","Defb10","Defb10"
"Q8R2K7","Snapc5","Snapc5"
"Q8R2L5","Mrps18c","Mrps18c"
"Q8R2M2","Dnttip2","Dnttip2"
"Q8R2N0","Ccdc59","Ccdc59 D10Ertd718e Tap26"
"Q8R2Q4","Gfm2","Gfm2 Efg2"
"Q8R2S1","Rps6kl1","Rps6kl1"
"Q8R2V5","Adap2","Adap2 Centa2"
"Q8R2Y3","Dolk","Dolk Tmem15"
"Q8R2Y8","Ptrh2","Ptrh2 Pth2"
"Q8R310","Tmcc3","Tmcc3"
"Q8R367","Rerg","Rerg"
"Q8R395","Commd5","Commd5"
"Q8R3C0","Mcmbp","Mcmbp"
"Q8R3F5","Mcat","Mcat Mt"
"Q8R3G9","Tspan8","Tspan8"
"Q8R3I3","Cog6","Cog6 Kiaa1134"
"Q8R3I9","B3gnt8","B3gnt8 B3galt7"
"Q8R3N1","Nop14","Nop14 Nol14"
"Q8R3P6","Ints14","Ints14 Vwa9"
"Q8R3Q0","Saraf","Saraf Tmem66"
"Q8R3Q2","Ppp6r2","Ppp6r2 Kiaa0685 Pp6r2 Saps2"
"Q8R3W5","Tsen15","Tsen15 Sen15"
"Q8R3W7","Agr3","Agr3"
"Q8R404","Micos13","Micos13 Mic13 Qil1"
"Q8R411","Myct1","Myct1 Mtmc1"
"Q8R459","Il1f10","Il1f10"
"Q8R4C2","Rufy2","Rufy2 Kiaa1537"
"Q8R4E4","Myoz3","Myoz3"
"Q8R4E6","Purg","Purg"
"Q8R4H4","Cpa5","Cpa5"
"Q8R4U6","Top1mt","Top1mt"
"Q8R4V5","Oit3","Oit3 Lzp"
"Q8R4W6","Pcolce2","Pcolce2 Pcpe2"
"Q8R4X3","Rbm12","Rbm12"
"Q8R555","Crtac1","Crtac1 Aspic1 Cep68"
"Q8R574","Prpsap2","Prpsap2"
"Q8R5A6","Tbc1d22a","Tbc1d22a D15Ertd781e"
"Q8R5M0","Gipc3","Gipc3 Rgs19ip3"
"Q8VBT1","Txlnb","Txlnb Mdp77"
"Q8VBW8","Ttc36","Ttc36"
"Q8VBW9","Or10h28","Or10h28 Mor267-1 Olfr63"
"Q8VC12","Uroc1","Uroc1"
"Q8VC26","Tlcd2","Tlcd2"
"Q8VC42","Rmc1","Rmc1 Mic1 Wdr98"
"Q8VC52","Rbpms2","Rbpms2"
"Q8VC57","Kctd5","Kctd5"
"Q8VC60","Glb1l","Glb1l"
"Q8VC74","Cox18","Cox18 Oxa1l2"
"Q8VC82","Rhbdl1","Rhbdl1 Rhbdl"
"Q8VC88","Gca","Gca"
"Q8VC98","Plekha4","Plekha4 Pepp1"
"Q8VCA6","Tmem161a","Tmem161a"
"Q8VCD3","Lman1l","Lman1l Ergl"
"Q8VCE9","Plekhh3","Plekhh3"
"Q8VCG9","Rfxap","Rfxap"
"Q8VCH5","Rabepk","Rabepk"
"Q8VCH9","Lrrc3b","Lrrc3b Lrp15"
"Q8VCJ6","Mrgprf","Mrgprf Mrgf"
"Q8VCK7","Sycn","Sycn"
"Q8VCM3","Zfyve21","Zfyve21"
"Q8VCN9","Tbcc","Tbcc"
"Q8VCR3","Tmem242","Tmem242"
"Q8VCR7","Abhd14b","Abhd14b"
"Q8VCU1","Ces3b","Ces3b Gm4738"
"Q8VCW8","Acsf2","Acsf2"
"Q8VCX6","Kptn","Kptn"
"Q8VCY6","Utp6","Utp6 Mhat"
"Q8VCY8","Plppr2","Plppr2 Lppr2 Prg4"
"Q8VCZ7","Zbtb7c","Zbtb7c Zbtb36"
"Q8VD33","Sgtb","Sgtb"
"Q8VD57","Sft2d2","Sft2d2"
"Q8VDB2","Alg12","Alg12"
"Q8VDC0","Lars2","Lars2"
"Q8VDI1","Epsti1","Epsti1"
"Q8VDJ3","Hdlbp","Hdlbp"
"Q8VDN4","Ccdc92","Ccdc92 D5Bwg0834e"
"Q8VDS4","Rprd1a","Rprd1a Kiaa4077 P15rs"
"Q8VDS7","Cep57l1","Cep57l1 Cep57r"
"Q8VDT1","Slc5a9","Slc5a9 Sglt4"
"Q8VDU1","Rhov","Rhov"
"Q8VDV0","Itgbl1","Itgbl1"
"Q8VDV3","Rab3il1","Rab3il1"
"Q8VDV8","Mitd1","Mitd1"
"Q8VE22","Mrps23","Mrps23"
"Q8VE42","Ankrd49","Ankrd49 Fgif Gbif"
"Q8VE62","Paip1","Paip1"
"Q8VE80","Thoc3","Thoc3"
"Q8VE85","Prelid3a","Prelid3a Slmo1"
"Q8VE94","Fam110c","Fam110c"
"Q8VEA7","Tcta","Tcta"
"Q8VED9","Lgalsl","Lgalsl Grpa Lgalsla"
"Q8VEH5","Epm2aip1","Epm2aip1 Kiaa0766"
"Q8VEH8","Erlec1","Erlec1"
"Q8VEJ1","Gpn2","Gpn2 Atpbd1b"
"Q8VEJ3","Dkk4","Dkk4"
"Q8VEL2","Mtmr14","Mtmr14"
"Q8VEL9","Rem2","Rem2"
"Q8VES2","Or5t17","Or5t17 Mor179-4 Olfr1102"
"Q8VEW2","Or5p73","Or5p73 Mor204-36 Olfr498"
"Q8VEW5","Or5p68","Or5p68 Mor204-35 Olfr493"
"Q8VEW6","Or5p81","Or5p81 Mor204-34 Olfr510"
"Q8VEX5","Or5h18","Or5h18 Mor183-9 Olfr186"
"Q8VEX6","Or5h19","Or5h19 Mor183-8 Olfr187"
"Q8VF12","Or5p70","Or5p70 Mor204-37 Olfr495"
"Q8VF13","Or5t9","Or5t9 Mor179-7 Olfr1094"
"Q8VF65","Or5p51","Or5p51 Mor204-22 Olfr470"
"Q8VF66","Or5p50","Or5p50 Mor204-21 Olfr469"
"Q8VF76","Or5g29","Or5g29 Mor175-5 Olfr998"
"Q8VFB9","Or5h17","Or5h17 Mor183-2 Olfr183"
"Q8VFC9","Or5p54","Or5p54 Mor204-20 Olfr474"
"Q8VFD0","Or5p62","Or5p62 Mor204-19 Olfr486"
"Q8VFD1","Or5p67","Or5p67 Mor204-18 Olfr492"
"Q8VFD2","Or5p66","Or5p66 Mor204-17 Olfr490"
"Q8VFD3","Or5p60","Or5p60 Mor204-16 Olfr484"
"Q8VFK1","Or5g9","Or5g9 Mor175-3 Olfr1009"
"Q8VFK7","Or5ap2","Or5ap2 Mor201-2 Olfr1020"
"Q8VFL9","Or5t7","Or5t7 Mor179-2 Olfr1086"
"Q8VFM9","Or1m1","Or1m1 Mor132-1 Olfr24"
"Q8VFR8","Olfr1165-ps","Olfr1165-ps Olfr1165"
"Q8VG02","Or5p64","Or5p64 Mor204-15 Olfr488"
"Q8VG03","Or5p58","Or5p58 Mor204-14 Olfr482"
"Q8VG04","Or5p6","Or5p6 Mor204-13 Olfr478"
"Q8VG05","Or5p59","Or5p59 Mor204-12 Olfr483"
"Q8VG06","Or5p1","Or5p1 Mor204-11 Olfr491"
"Q8VG07","Or5p69","Or5p69 Mor204-10 Olfr494"
"Q8VG08","Or5p72","Or5p72 Mor204-9 Olfr497"
"Q8VG09","Or5p76","Or5p76 Mor204-8 Olfr502"
"Q8VG13","Or5p79","Or5p79 Mor204-7 Olfr507"
"Q8VG42","Or5p80","Or5p80 Mor204-6 Olfr508"
"Q8VG43","Or5p52","Or5p52 Mor204-5 Olfr472"
"Q8VG44","Or5p53","Or5p53 Mor204-4 Olfr473"
"Q8VGI1","Or1e16","Or1e16 Mor135-13 Olfr1"
"Q8VGI4","Or5p55","Or5p55 Mor204-3 Olfr476"
"Q8VGI5","Or5p4","Or5p4 Mor204-2 Olfr481"
"Q8VGI6","Or5p56","Or5p56 Mor204-1 Olfr477"
"Q8VGR8","Or5j3","Or5j3 Mor172-1 Olfr1052"
"Q8VGR9","Or8u9","Or8u9 Mor185-4 Olfr1044"
"Q8VHA6","Asb18","Asb18"
"Q8VHI7","Ccdc65","Ccdc65 Drc2"
"Q8VHK1","Caskin2","Caskin2 Kiaa1139"
"Q8VHL5","Crygn","Crygn"
"Q8VHT7","Gtf3a","Gtf3a"
"Q8VHW3","Cacng6","Cacng6"
"Q8VHW4","Cacng5","Cacng5"
"Q8VHZ7","Imp4","Imp4 D1Wsu40e"
"Q8VI21","Clec2f","Clec2f Clrc"
"Q8VI23","Slc12a8","Slc12a8 Ccc9"
"Q8VI59","Pcnx3","Pcnx3 Pcnxl3"
"Q8VIB3","St3gal6","St3gal6 Siat10"
"Q8VIG0","Zcchc14","Zcchc14 Kiaa0579"
"Q8VII3","Cst14","Cst14"
"Q8VIK2","Mpv17l2","Mpv17l2 Fksg24"
"Q8VIL2","Rwdd3","Rwdd3 Rsume X2cr1"
"Q8VIN1","Pbp2","Pbp2 Pebp2"
"Q91V13","Leap2","Leap2"
"Q91V61","Sfxn3","Sfxn3"
"Q91V70","Defb7","Defb7"
"Q91V80","Apof","Apof Lvif"
"Q91V83","Tti1","Tti1"
"Q91V93","Rhobtb2","Rhobtb2 Dbc2"
"Q91VC7","Ppp1r14a","Ppp1r14a Cpi17"
"Q91VD1","Lgals12","Lgals12"
"Q91VI7","Rnh1","Rnh1 Rnh"
"Q91VU1","Yipf1","Yipf1"
"Q91VU6","Dcaf11","Dcaf11 D14Ucla1 Wdr23"
"Q91VU8","Ptov1","Ptov1"
"Q91VW3","Sh3bgrl3","Sh3bgrl3"
"Q91VX2","Ubap2","Ubap2 Lig1"
"Q91VX5","Nxph3","Nxph3"
"Q91VX9","Tmem168","Tmem168"
"Q91VY6","Cytip","Cytip Pscdbp"
"Q91W29","Cox4i2","Cox4i2 Cox4b"
"Q91W45","Paip2b","Paip2b Kiaa1155"
"Q91W53","Golga7","Golga7 MNCb-1213"
"Q91W67","Ubl7","Ubl7"
"Q91W78","Usb1","Usb1"
"Q91WA4","Cxxc5","Cxxc5"
"Q91WD9","Scgn","Scgn"
"Q91WE1","Snx15","Snx15"
"Q91WE2","Psme3ip1","Psme3ip1 Fam192a Nip30"
"Q91WE3","Rpp25","Rpp25"
"Q91WJ7","Spats2l","Spats2l"
"Q91WK0","Lrrfip2","Lrrfip2"
"Q91WK5","Gcsh","Gcsh"
"Q91WL0","Eps8l3","Eps8l3 Eps8r3"
"Q91WL6","Snx11","Snx11"
"Q91WM6","Eva1a","Eva1a Fam176a Tmem166"
"Q91WN1","Dnajc9","Dnajc9"
"Q91WN2","Tmem150a","Tmem150a Tmem150"
"Q91WQ9","Calml4","Calml4"
"Q91WT4","Dnajc17","Dnajc17"
"Q91WW2","Mrgpra4","Mrgpra4 Mrga4"
"Q91WW5","Mrgpra1","Mrgpra1 Mrga1"
"Q91X21","Kiaa2013","Kiaa2013"
"Q91X45","Zbtb3","Zbtb3"
"Q91X91","Qprt","Qprt"
"Q91X96","Rabif","Rabif"
"Q91XC8","Dap","Dap"
"Q91XD8","Slc25a38","Slc25a38"
"Q91XE7","Atp6v0e2","Atp6v0e2"
"Q91XY4","Pcdhga4","Pcdhga4"
"Q91Y11","Pcdha9","Pcdha9"
"Q91Y20","Pcdha10","Pcdha10"
"Q91YD6","Vill","Vill Villp"
"Q91YJ3","Thyn1","Thyn1 Thy28"
"Q91YL7","Cwh43","Cwh43 Pgap2ip"
"Q91YP3","Dera","Dera"
"Q91YP6","Elmod3","Elmod3 Rbed1"
"Q91YQ3","Csdc2","Csdc2 Pippin"
"Q91YQ7","Rmnd5b","Rmnd5b"
"Q91YU8","Ppan","Ppan Ssf1"
"Q91Z49","Fyttd1","Fyttd1 Uif"
"Q91Z61","Diras1","Diras1 Gbts1"
"Q91ZA6","Socs4","Socs4 Socs7"
"Q91ZB5","Mrgprg","Mrgprg Ebrt2 Gm1098 Mrgg"
"Q91ZB7","Mrgpre","Mrgpre Ebrt3 Mrge"
"Q91ZB8","Mrgprd","Mrgprd Gm499 Mrgd"
"Q91ZB9","Mrgprb5","Mrgprb5 Mrgb5"
"Q91ZC0","Mrgprb4","Mrgprb4 Mrgb4"
"Q91ZC1","Mrgprb3","Mrgprb3 Mrgb3"
"Q91ZC5","Mrgpra7","Mrgpra7 Mrga7"
"Q91ZC7","Mrgpra5","Mrgpra5 Mrga5"
"Q91ZM8","Cabp7","Cabp7 Caln2"
"Q91ZN5","Slc35b2","Slc35b2 J207"
"Q91ZT8","Asb9","Asb9"
"Q91ZU1","Asb6","Asb6"
"Q91ZV3","Dcbld2","Dcbld2 Esdn"
"Q91ZW7","Cd209e","Cd209e"
"Q91ZW9","Cd209c","Cd209c"
"Q920C4","Ms4a3","Ms4a3 Htm4"
"Q920D7","Scgb3a1","Scgb3a1 Hin1 Pnsp2 Ugrp2"
"Q920I9","Wdr7","Wdr7 Kiaa0541 Trag"
"Q920M5","Coro6","Coro6"
"Q920N1","Cimap1a","Cimap1a Odf3 Shippo1 Beta390"
"Q921H9","Coa7","Coa7 Selrc1"
"Q921K8","Tcaf2","Tcaf2 Fam115c Fam139a"
"Q921L5","Cog2","Cog2 Ldlc"
"Q921L7","Hemk1","Hemk1"
"Q921R4","Dnajc14","Dnajc14"
"Q921R8","Slc41a3","Slc41a3"
"Q921X6","Polr3f","Polr3f"
"Q921X9","Pdia5","Pdia5 Pdir"
"Q921Y0","Mob1a","Mob1a Mobk1b Mobkl1b"
"Q921Y2","Imp3","Imp3"
"Q921Z5","Tnfaip8","Tnfaip8"
"Q922H7","Rasl11b","Rasl11b"
"Q922H9","Znf330","Znf330 Noa36 Zfp330"
"Q922L6","Nelfcd","Nelfcd Nelfd Th1 Th1l"
"Q922M5","Cdca7l","Cdca7l"
"Q922Q5","Slc35b3","Slc35b3"
"Q922Q8","Lrrc59","Lrrc59"
"Q922T2","Mfap3","Mfap3"
"Q922Z1","Ldaf1","Ldaf1 Tmem159"
"Q923B0","Ggact","Ggact A2ld1"
"Q923K4","Gtpbp3","Gtpbp3"
"Q923P0","Col20a1","Col20a1"
"Q923S9","Rab30","Rab30 Rsb30"
"Q924H0","Npffr2","Npffr2 Gpr74 Npff2"
"Q924H9","Dqx1","Dqx1"
"Q924P3","Lcn8","Lcn8"
"Q924T2","Mrps2","Mrps2"
"Q924Z5","Tram2","Tram2"
"Q925E0","Sntg2","Sntg2"
"Q925E1","Sntg1","Sntg1"
"Q925E7","Ppp2r2d","Ppp2r2d D7Ertd753e Kiaa1541"
"Q925N1","Sfxn4","Sfxn4"
"Q925N2","Sfxn2","Sfxn2"
"Q925N4","Cldn16","Cldn16"
"Q925Q5","Gpha2","Gpha2 Gpa2 Zsig51"
"Q925U0","Oosp1","Oosp1 If3"
"Q99J10","Ctu1","Ctu1 Atpbd3 Ncs6"
"Q99J23","Ghdc","Ghdc D11lgp1e Lgp1"
"Q99J25","Mrm1","Mrm1"
"Q99J59","Tspan1","Tspan1"
"Q99J77","Nans","Nans Sas"
"Q99JI1","Mustn1","Mustn1"
"Q99JI4","Psmd6","Psmd6"
"Q99JP4","Cdc26","Cdc26"
"Q99JS0","Ncmap","Ncmap"
"Q99JT1","Gatb","Gatb Pet112 Pet112l"
"Q99JT6","Tlcd1","Tlcd1"
"Q99JU7","Bnipl","Bnipl"
"Q99JZ0","Sdcbp2","Sdcbp2"
"Q99K01","Pdxdc1","Pdxdc1"
"Q99K85","Psat1","Psat1 Psa Psat"
"Q99K95","Rtf2","Rtf2 Rtfdc1"
"Q99KC7","Smagp","Smagp"
"Q99KF0","Card14","Card14 Bimp2"
"Q99KI3","Emc3","Emc3 Tmem111"
"Q99KJ5","Tcf19","Tcf19 Sc1"
"Q99KK1","Reep3","Reep3 D10Ucla1"
"Q99KK9","Hars2","Hars2 Harsl"
"Q99KL7","Rab28","Rab28"
"Q99KN2","Ciao1","Ciao1 Wdr39"
"Q99KR3","Lactb2","Lactb2"
"Q99KU6",NA,NA
"Q99KW9","Itfg1","Itfg1 D8Wsu49e Lnkn-1 Tip"
"Q99L04","Dhrs1","Dhrs1 D14ertd484e"
"Q99L13","Hibadh","Hibadh"
"Q99L20","Gstt3","Gstt3"
"Q99L27","Gmpr2","Gmpr2"
"Q99L48","Nmd3","Nmd3"
"Q99L60","Atp6v1c2","Atp6v1c2 Atp6c2"
"Q99LB6","Mat2b","Mat2b"
"Q99LB7","Sardh","Sardh"
"Q99LE2","Gpr146","Gpr146"
"Q99LE3","Lysmd3","Lysmd3"
"Q99LG2","Tnpo2","Tnpo2"
"Q99LH1","Gnl2","Gnl2"
"Q99LH4","Znf672","Znf672 Zfp672"
"Q99LH9","Sh3bp5l","Sh3bp5l Kiaa1720"
"Q99LI7","Cstf3","Cstf3"
"Q99LJ0","Cttnbp2nl","Cttnbp2nl Kiaa1433"
"Q99LJ6","Gpx7","Gpx7"
"Q99LJ7","Rcbtb2","Rcbtb2 Chc1l"
"Q99LL3","Chst12","Chst12"
"Q99LM9","Tada1","Tada1 Tada1l"
"Q99LP8","Yipf2","Yipf2"
"Q99LV7","Pigx","Pigx"
"Q99LY9","Ndufs5","Ndufs5"
"Q99M31","Hspa14","Hspa14 Hsp70-4"
"Q99M74","Krt82","Krt82 Krt2-20 Krthb2"
"Q99M96","St7","St7"
"Q99MD8","Mynn","Mynn"
"Q99ME2","Wdr6","Wdr6"
"Q99ME3","Sncaip","Sncaip"
"Q99ML4","Dipk1b","Dipk1b Fam69b Pip49"
"Q99MP3","Calcb","Calcb"
"Q99MT7","Gpr87","Gpr87"
"Q99MT8","Mrgprh","Mrgprh Gpr90 Mrgh"
"Q99MU1","Tpra1","Tpra1 Gpr175 Tpra40"
"Q99MW3","Pramel1","Pramel1"
"Q99MX0","Tktl1","Tktl1"
"Q99N03","Ms4a10","Ms4a10"
"Q99N07","Ms4a6d","Ms4a6d Cd20l8 Ms4a11"
"Q99N08","Ms4a6c","Ms4a6c"
"Q99N09","Ms4a6b","Ms4a6b"
